shipment_id,customer_id,product_category,warehouse_block,mode_of_shipment,route,customer_care_calls,customer_rating,cost_of_product,prior_purchases,discount_offered,weight_in_gms,scheduled_days,actual_days,on_time_delivery,shipment_date
SHIP00001,CUST5012,Fashion,B,Road,Delhi-Mumbai,6,5,526.0,6,2.1,1767,4,3,1,2023-05-21
SHIP00002,CUST1434,Sporting Goods,B,Road,Bangalore-Chennai,6,5,2155.65,7,38.3,1053,6,6,1,2023-09-16
SHIP00003,CUST6574,Home & Garden,B,Ship,Mumbai-Chennai,1,1,1961.64,5,55.1,5945,5,9,0,2023-08-05
SHIP00004,CUST8527,Sporting Goods,A,Flight,Delhi-Mumbai,5,3,4164.08,5,37.5,6771,7,12,0,2023-01-23
SHIP00005,CUST4733,Home & Garden,A,Ship,Delhi-Mumbai,4,3,2321.71,5,10.6,3910,4,3,1,2023-12-05
SHIP00006,CUST2169,Sporting Goods,B,Road,Bangalore-Chennai,2,2,2365.08,4,64.3,6242,6,10,0,2023-05-17
SHIP00007,CUST1916,Fashion,A,Flight,Kolkata-Delhi,3,1,1133.82,5,13.8,5089,6,10,0,2023-06-16
SHIP00008,CUST3340,Home & Garden,B,Ship,Bangalore-Chennai,5,5,1387.43,6,58.4,4271,9,13,0,2023-08-23
SHIP00009,CUST9348,Cosmetics,A,Ship,Delhi-Mumbai,2,2,3981.19,6,38.8,4152,8,8,1,2023-03-12
SHIP00010,CUST9669,Home & Garden,F,Ship,Bangalore-Chennai,6,1,3440.38,8,48.8,6250,9,12,0,2023-08-28
SHIP00011,CUST8123,Fashion,D,Ship,Bangalore-Chennai,6,3,4862.25,2,33.0,1871,8,7,1,2023-05-31
SHIP00012,CUST9317,Sporting Goods,B,Ship,Mumbai-Chennai,7,2,2742.96,8,59.7,5906,7,12,0,2023-11-24
SHIP00013,CUST2832,Home & Garden,C,Ship,Delhi-Mumbai,2,5,4740.05,1,47.6,1566,8,10,0,2023-01-10
SHIP00014,CUST8787,Sporting Goods,B,Flight,Hyderabad-Pune,7,5,2173.38,3,60.4,6979,5,5,1,2023-12-04
SHIP00015,CUST7537,Books,C,Flight,Hyderabad-Pune,4,1,1314.74,1,22.0,5819,6,10,0,2023-06-09
